date,open,high,low,close,volume,label
2012.05.13,79.918,80.04,79.876,80.015,1548,80.171
2012.05.14,80.016,80.171,79.67,79.854,22762,80.32
2012.05.15,79.858,80.32,79.8,80.299,25301,80.538
2012.05.16,80.298,80.538,80.182,80.35,27586,80.361
2012.05.17,80.352,80.361,79.122,79.405,28839,79.45
2012.05.18,79.404,79.45,79,79.06,24552,79.21
2012.05.20,79.204,79.21,79.093,79.169,1480,79.433
2012.05.21,79.168,79.433,79.11,79.4,22556,80.132
2012.05.22,79.401,80.132,79.288,79.997,26784,80.049
2012.05.23,79.998,80.049,79.2,79.437,31890,79.675
2012.05.24,79.438,79.675,79.33,79.657,25107,79.808
2012.05.25,79.656,79.808,79.486,79.646,19594,79.67
2012.05.27,79.655,79.67,79.531,79.592,1643,79.615
2012.05.28,79.593,79.615,79.32,79.563,18502,79.627
2012.05.29,79.564,79.627,79.359,79.511,22090,79.548
2012.05.30,79.508,79.548,78.853,78.963,26513,78.979
2012.05.31,78.964,78.979,78.199,78.539,29968,78.695
2012.06.01,78.54,78.695,77.65,78.129,31792,78.218
2012.06.03,78.097,78.218,78.058,78.058,1595,78.434
2012.06.04,78.059,78.434,77.974,78.341,23914,78.953
2012.06.05,78.34,78.953,78.092,78.728,26806,79.377
2012.06.06,78.727,79.377,78.598,79.282,33653,79.779
2012.06.07,79.281,79.779,79.192,79.691,31816,79.716
2012.06.08,79.692,79.716,79.097,79.359,27731,79.694
2012.06.10,79.472,79.694,79.38,79.549,2336,79.708
2012.06.11,79.548,79.708,79.217,79.299,26573,79.679
2012.06.12,79.298,79.679,79.155,79.515,29279,79.73
2012.06.13,79.516,79.73,79.286,79.367,25211,79.463
2012.06.14,79.368,79.463,79.146,79.414,22973,79.496
2012.06.15,79.413,79.496,78.598,78.654,24144,79.161
2012.06.17,78.791,79.161,78.79,79.061,3218,79.292
2012.06.18,79.06,79.292,78.846,79.01,25690,79.108
2012.06.19,79.009,79.108,78.832,79.046,22940,79.689
2012.06.20,79.05,79.689,78.78,79.422,29425,80.319
2012.06.21,79.42,80.319,79.374,80.037,30966,80.556
2012.06.22,80.038,80.556,80.038,80.405,24382,80.608
2012.06.24,80.401,80.608,80.401,80.56,1828,80.559
2012.06.25,80.559,80.559,79.428,79.642,24991,79.772
2012.06.26,79.644,79.772,79.219,79.45,26728,79.853
